timedelta,date
98 days 12:00:00,2001-04-09 12:00:00
98 days 18:00:00,2001-04-09 18:00:00
99 days 00:00:00,2001-04-10 00:00:00
99 days 06:00:00,2001-04-10 06:00:00
99 days 12:00:00,2001-04-10 12:00:00
99 days 18:00:00,2001-04-10 18:00:00
100 days 00:00:00,2001-04-11 00:00:00
100 days 06:00:00,2001-04-11 06:00:00
100 days 12:00:00,2001-04-11 12:00:00
100 days 18:00:00,2001-04-11 18:00:00
101 days 00:00:00,2001-04-12 00:00:00
101 days 06:00:00,2001-04-12 06:00:00
101 days 12:00:00,2001-04-12 12:00:00
101 days 18:00:00,2001-04-12 18:00:00
102 days 00:00:00,2001-04-13 00:00:00
102 days 06:00:00,2001-04-13 06:00:00
102 days 12:00:00,2001-04-13 12:00:00
102 days 18:00:00,2001-04-13 18:00:00
103 days 00:00:00,2001-04-14 00:00:00
103 days 06:00:00,2001-04-14 06:00:00
103 days 12:00:00,2001-04-14 12:00:00
103 days 18:00:00,2001-04-14 18:00:00
104 days 00:00:00,2001-04-15 00:00:00
104 days 06:00:00,2001-04-15 06:00:00
104 days 12:00:00,2001-04-15 12:00:00
104 days 18:00:00,2001-04-15 18:00:00
105 days 00:00:00,2001-04-16 00:00:00
105 days 06:00:00,2001-04-16 06:00:00
105 days 12:00:00,2001-04-16 12:00:00
105 days 18:00:00,2001-04-16 18:00:00
106 days 00:00:00,2001-04-17 00:00:00
106 days 06:00:00,2001-04-17 06:00:00
106 days 12:00:00,2001-04-17 12:00:00
106 days 18:00:00,2001-04-17 18:00:00
107 days 00:00:00,2001-04-18 00:00:00
107 days 06:00:00,2001-04-18 06:00:00
107 days 12:00:00,2001-04-18 12:00:00
107 days 18:00:00,2001-04-18 18:00:00
108 days 00:00:00,2001-04-19 00:00:00
108 days 06:00:00,2001-04-19 06:00:00
108 days 12:00:00,2001-04-19 12:00:00
108 days 18:00:00,2001-04-19 18:00:00
109 days 00:00:00,2001-04-20 00:00:00
109 days 06:00:00,2001-04-20 06:00:00
109 days 12:00:00,2001-04-20 12:00:00
109 days 18:00:00,2001-04-20 18:00:00
110 days 00:00:00,2001-04-21 00:00:00
110 days 06:00:00,2001-04-21 06:00:00
110 days 12:00:00,2001-04-21 12:00:00
110 days 18:00:00,2001-04-21 18:00:00
111 days 00:00:00,2001-04-22 00:00:00
111 days 06:00:00,2001-04-22 06:00:00
111 days 12:00:00,2001-04-22 12:00:00
111 days 18:00:00,2001-04-22 18:00:00
112 days 00:00:00,2001-04-23 00:00:00
112 days 06:00:00,2001-04-23 06:00:00
112 days 12:00:00,2001-04-23 12:00:00
112 days 18:00:00,2001-04-23 18:00:00
113 days 00:00:00,2001-04-24 00:00:00
113 days 06:00:00,2001-04-24 06:00:00
113 days 12:00:00,2001-04-24 12:00:00
113 days 18:00:00,2001-04-24 18:00:00
114 days 00:00:00,2001-04-25 00:00:00
114 days 06:00:00,2001-04-25 06:00:00
114 days 12:00:00,2001-04-25 12:00:00
114 days 18:00:00,2001-04-25 18:00:00
115 days 00:00:00,2001-04-26 00:00:00
115 days 06:00:00,2001-04-26 06:00:00
115 days 12:00:00,2001-04-26 12:00:00
115 days 18:00:00,2001-04-26 18:00:00
116 days 00:00:00,2001-04-27 00:00:00
116 days 06:00:00,2001-04-27 06:00:00
116 days 12:00:00,2001-04-27 12:00:00
116 days 18:00:00,2001-04-27 18:00:00
117 days 00:00:00,2001-04-28 00:00:00
117 days 06:00:00,2001-04-28 06:00:00
117 days 12:00:00,2001-04-28 12:00:00
117 days 18:00:00,2001-04-28 18:00:00
118 days 00:00:00,2001-04-29 00:00:00
118 days 06:00:00,2001-04-29 06:00:00
118 days 12:00:00,2001-04-29 12:00:00
118 days 18:00:00,2001-04-29 18:00:00
119 days 00:00:00,2001-04-30 00:00:00
119 days 06:00:00,2001-04-30 06:00:00
119 days 12:00:00,2001-04-30 12:00:00
119 days 18:00:00,2001-04-30 18:00:00
120 days 00:00:00,2001-05-01 00:00:00
120 days 06:00:00,2001-05-01 06:00:00
120 days 12:00:00,2001-05-01 12:00:00
120 days 18:00:00,2001-05-01 18:00:00
121 days 00:00:00,2001-05-02 00:00:00
121 days 06:00:00,2001-05-02 06:00:00
121 days 12:00:00,2001-05-02 12:00:00
121 days 18:00:00,2001-05-02 18:00:00
122 days 00:00:00,2001-05-03 00:00:00
122 days 06:00:00,2001-05-03 06:00:00
122 days 12:00:00,2001-05-03 12:00:00
122 days 18:00:00,2001-05-03 18:00:00
123 days 00:00:00,2001-05-04 00:00:00
123 days 06:00:00,2001-05-04 06:00:00
123 days 12:00:00,2001-05-04 12:00:00
123 days 18:00:00,2001-05-04 18:00:00
124 days 00:00:00,2001-05-05 00:00:00
124 days 06:00:00,2001-05-05 06:00:00
124 days 12:00:00,2001-05-05 12:00:00
124 days 18:00:00,2001-05-05 18:00:00
125 days 00:00:00,2001-05-06 00:00:00
125 days 06:00:00,2001-05-06 06:00:00
125 days 12:00:00,2001-05-06 12:00:00
125 days 18:00:00,2001-05-06 18:00:00
126 days 00:00:00,2001-05-07 00:00:00
126 days 06:00:00,2001-05-07 06:00:00
126 days 12:00:00,2001-05-07 12:00:00
126 days 18:00:00,2001-05-07 18:00:00
127 days 00:00:00,2001-05-08 00:00:00
127 days 06:00:00,2001-05-08 06:00:00
127 days 12:00:00,2001-05-08 12:00:00
127 days 18:00:00,2001-05-08 18:00:00
128 days 00:00:00,2001-05-09 00:00:00
128 days 06:00:00,2001-05-09 06:00:00
128 days 12:00:00,2001-05-09 12:00:00
128 days 18:00:00,2001-05-09 18:00:00
129 days 00:00:00,2001-05-10 00:00:00
129 days 06:00:00,2001-05-10 06:00:00
129 days 12:00:00,2001-05-10 12:00:00
129 days 18:00:00,2001-05-10 18:00:00
130 days 00:00:00,2001-05-11 00:00:00
130 days 06:00:00,2001-05-11 06:00:00
130 days 12:00:00,2001-05-11 12:00:00
130 days 18:00:00,2001-05-11 18:00:00
131 days 00:00:00,2001-05-12 00:00:00
131 days 06:00:00,2001-05-12 06:00:00
131 days 12:00:00,2001-05-12 12:00:00
131 days 18:00:00,2001-05-12 18:00:00
132 days 00:00:00,2001-05-13 00:00:00
132 days 06:00:00,2001-05-13 06:00:00
132 days 12:00:00,2001-05-13 12:00:00
132 days 18:00:00,2001-05-13 18:00:00
133 days 00:00:00,2001-05-14 00:00:00
133 days 06:00:00,2001-05-14 06:00:00
133 days 12:00:00,2001-05-14 12:00:00
133 days 18:00:00,2001-05-14 18:00:00
134 days 00:00:00,2001-05-15 00:00:00
134 days 06:00:00,2001-05-15 06:00:00
134 days 12:00:00,2001-05-15 12:00:00
134 days 18:00:00,2001-05-15 18:00:00
135 days 00:00:00,2001-05-16 00:00:00
135 days 06:00:00,2001-05-16 06:00:00
135 days 12:00:00,2001-05-16 12:00:00
135 days 18:00:00,2001-05-16 18:00:00
136 days 00:00:00,2001-05-17 00:00:00
136 days 06:00:00,2001-05-17 06:00:00
136 days 12:00:00,2001-05-17 12:00:00
136 days 18:00:00,2001-05-17 18:00:00
137 days 00:00:00,2001-05-18 00:00:00
137 days 06:00:00,2001-05-18 06:00:00
137 days 12:00:00,2001-05-18 12:00:00
137 days 18:00:00,2001-05-18 18:00:00
138 days 00:00:00,2001-05-19 00:00:00
138 days 06:00:00,2001-05-19 06:00:00
138 days 12:00:00,2001-05-19 12:00:00
138 days 18:00:00,2001-05-19 18:00:00
139 days 00:00:00,2001-05-20 00:00:00
139 days 06:00:00,2001-05-20 06:00:00
139 days 12:00:00,2001-05-20 12:00:00
139 days 18:00:00,2001-05-20 18:00:00
140 days 00:00:00,2001-05-21 00:00:00
140 days 06:00:00,2001-05-21 06:00:00
140 days 12:00:00,2001-05-21 12:00:00
140 days 18:00:00,2001-05-21 18:00:00
141 days 00:00:00,2001-05-22 00:00:00
141 days 06:00:00,2001-05-22 06:00:00
141 days 12:00:00,2001-05-22 12:00:00
141 days 18:00:00,2001-05-22 18:00:00
142 days 00:00:00,2001-05-23 00:00:00
142 days 06:00:00,2001-05-23 06:00:00
142 days 12:00:00,2001-05-23 12:00:00
142 days 18:00:00,2001-05-23 18:00:00
143 days 00:00:00,2001-05-24 00:00:00
143 days 06:00:00,2001-05-24 06:00:00
143 days 12:00:00,2001-05-24 12:00:00
143 days 18:00:00,2001-05-24 18:00:00
144 days 00:00:00,2001-05-25 00:00:00
144 days 06:00:00,2001-05-25 06:00:00
144 days 12:00:00,2001-05-25 12:00:00
144 days 18:00:00,2001-05-25 18:00:00
145 days 00:00:00,2001-05-26 00:00:00
145 days 06:00:00,2001-05-26 06:00:00
145 days 12:00:00,2001-05-26 12:00:00
145 days 18:00:00,2001-05-26 18:00:00
146 days 00:00:00,2001-05-27 00:00:00
146 days 06:00:00,2001-05-27 06:00:00
146 days 12:00:00,2001-05-27 12:00:00
146 days 18:00:00,2001-05-27 18:00:00
147 days 00:00:00,2001-05-28 00:00:00
147 days 06:00:00,2001-05-28 06:00:00
147 days 12:00:00,2001-05-28 12:00:00
147 days 18:00:00,2001-05-28 18:00:00
148 days 00:00:00,2001-05-29 00:00:00
148 days 06:00:00,2001-05-29 06:00:00
148 days 12:00:00,2001-05-29 12:00:00
148 days 18:00:00,2001-05-29 18:00:00
149 days 00:00:00,2001-05-30 00:00:00
149 days 06:00:00,2001-05-30 06:00:00
149 days 12:00:00,2001-05-30 12:00:00
149 days 18:00:00,2001-05-30 18:00:00
150 days 00:00:00,2001-05-31 00:00:00
150 days 06:00:00,2001-05-31 06:00:00
150 days 12:00:00,2001-05-31 12:00:00
150 days 18:00:00,2001-05-31 18:00:00
151 days 00:00:00,2001-06-01 00:00:00
151 days 06:00:00,2001-06-01 06:00:00
151 days 12:00:00,2001-06-01 12:00:00
